fileID,matFileDir,matFileName,xdfFileDir,xdfFileName,vidDir,vidFileName,date,condition,subject,trial,engagementRating,MockBCISuccess,usable,age
1,013/play/mat/,013_play_01_112817.mat,013/play/xdf/,11_28_17_01.xdf,013/play/avi/downsampled/,2017-11-28 17-08-34.avi,112817,play,13,1,10,1,1,20
2,013/play/mat/,013_play_02_112817.mat,013/play/xdf/,11_28_17_02.xdf,013/play/avi/downsampled/,2017-11-28 17-14-50.avi,112817,play,13,2,10,1,1,20
3,013/bci/mat/,013_bci_01_112817.mat,013/bci/xdf/,11_28_17_01.xdf,013/bci/avi/downsampled/,2017-11-28 17-19-37.avi,112817,bci,13,1,10,1,1,20
4,013/bci/mat/,013_bci_02_112817.mat,013/bci/xdf/,11_28_17_02.xdf,013/bci/avi/downsampled/,2017-11-28 17-23-31.avi,112817,bci,13,2,10,1,1,20
5,013/watch/mat/,013_watch_01_112817.mat,013/watch/xdf/,11_28_17_01.xdf,013/watch/avi/downsampled/,2017-11-28 17-29-51.avi,112817,watch,13,1,9,1,1,20
6,013/watch/mat/,013_watch_02_112817.mat,013/watch/xdf/,11_28_17_02.xdf,013/watch/avi/downsampled/,2017-11-28 17-33-22.avi,112817,watch,13,2,9,1,1,20
7,014/play/mat/,014_play_01_112917.mat,014/play/xdf/,11_29_17_01.xdf,014/play/avi/downsampled/,2017-11-29 15-12-58.avi,112917,play,14,1,9,1,1,21
8,014/play/mat/,014_play_02_112917.mat,014/play/xdf/,11_29_17_02.xdf,014/play/avi/downsampled/,2017-11-29 15-19-01.avi,112917,play,14,2,9,1,1,21
9,014/bci/mat/,014_bci_01_112917.mat,014/bci/xdf/,11_29_17_01.xdf,014/bci/avi/downsampled/,2017-11-29 15-24-51.avi,112917,bci,14,1,10,1,1,21
10,014/bci/mat/,014_bci_02_112917.mat,014/bci/xdf/,11_29_17_02.xdf,014/bci/avi/downsampled/,2017-11-29 15-28-53.avi,112917,bci,14,2,10,1,1,21
11,014/bci/mat/,014_bci_03_112917.mat,014/bci/xdf/,11_29_17_03.xdf,014/bci/avi/downsampled/,2017-11-29 15-50-48.avi,112917,bci,14,3,10,1,1,21
12,014/watch/mat/,014_watch_01_112917.mat,014/watch/xdf/,11_29_17_01.xdf,014/watch/avi/downsampled/,2017-11-29 15-33-56.avi,112917,watch,14,1,9,1,1,21
13,014/watch/mat/,014_watch_02_112917.mat,014/watch/xdf/,11_29_17_02.xdf,014/watch/avi/downsampled/,2017-11-29 15-42-07.avi,112917,watch,14,2,9,1,1,21
14,014/watch/mat/,014_watch_03_112917.mat,014/watch/xdf/,11_29_17_03.xdf,014/watch/avi/downsampled/,2017-11-29 16-03-41.avi,112917,watch,14,3,9,1,1,21
15,014/watch/mat/,014_watch_04_112917.mat,014/watch/xdf/,11_29_17_04.xdf,014/watch/avi/downsampled/,2017-11-29 16-07-31.avi,112917,watch,14,4,9,1,1,21
16,015/play/mat/,015_play_01_112917.mat,015/play/xdf/,11_29_17_01.xdf,015/play/avi/downsampled/,2017-11-29 19-47-24.avi,112917,play,15,1,9,1,1,18
17,015/play/mat/,015_play_02_112917.mat,015/play/xdf/,11_29_17_02.xdf,015/play/avi/downsampled/,2017-11-29 19-51-40.avi,112917,play,15,2,9,1,1,18
18,015/bci/mat/,015_bci_01_112917.mat,015/bci/xdf/,11_29_17_01.xdf,015/bci/avi/downsampled/,2017-11-29 19-56-41.avi,112917,bci,15,1,10,1,1,18
19,015/bci/mat/,015_bci_02_112917.mat,015/bci/xdf/,11_29_17_02.xdf,015/bci/avi/downsampled/,2017-11-29 20-00-39.avi,112917,bci,15,2,10,1,1,18
20,015/watch/mat/,015_watch_01_112917.mat,015/watch/xdf/,11_29_17_01.xdf,015/watch/avi/downsampled/,2017-11-29 19-37-06.avi,112917,watch,15,1,10,1,1,18
21,015/watch/mat/,015_watch_02_112917.mat,015/watch/xdf/,11_29_17_02.xdf,015/watch/avi/downsampled/,2017-11-29 19-40-50.avi,112917,watch,15,2,10,1,1,18
22,016/play/mat/,016_play_01_113017.mat,016/play/xdf/,11_30_17_01.xdf,016/play/avi/downsampled/,2017-11-30 17-34-51.avi,113017,play,16,1,10,0,1,22
23,016/play/mat/,016_play_02_113017.mat,016/play/xdf/,11_30_17_02.xdf,016/play/avi/downsampled/,2017-11-30 17-38-50.avi,113017,play,16,2,10,0,1,22
24,016/bci/mat/,016_bci_01_113017.mat,016/bci/xdf/,11_30_17_01.xdf,016/bci/avi/downsampled/,2017-11-30 17-43-49.avi,113017,bci,16,1,8,0,1,22
25,016/watch/mat/,016_watch_01_113017.mat,016/watch/xdf/,11_30_17_01.xdf,016/watch/avi/downsampled/,2017-11-30 17-24-49.avi,113017,watch,16,1,5,0,1,22
26,016/watch/mat/,016_watch_02_113017.mat,016/watch/xdf/,11_30_17_02.xdf,016/watch/avi/downsampled/,2017-11-30 17-28-22.avi,113017,watch,16,2,5,0,1,22
27,017/play/mat/,017_play_01_120117.mat,017/play/xdf/,12_01_17_01.xdf,017/play/avi/downsampled/,2017-12-01 15-55-17.avi,120117,play,17,1,10,1,1,21
28,017/play/mat/,017_play_02_120117.mat,017/play/xdf/,12_01_17_02.xdf,017/play/avi/downsampled/,2017-12-01 15-59-27.avi,120117,play,17,2,10,1,1,21
